user_id,label,score,命中(超阈值),top3可疑位置(事件序号)
0xf9db46a83c2a14f4d481f5d7e9d3683cb42cfc3c,0,0.7802,0,160 130 32
0x76d214efd13600411c64d388f6e31737f14ef416,0,-0.6705,0,2 24 31
0x587ec2381c03404d5b89ae2c1c3b8c05d6a44003,0,0.8766,0,77 62 22
0x6b9d131ef654a58769ddddaa5f95be4af35c45ec,0,-0.6470,0,28 26 6
0xf4c317c356c22caa121462a81571a275276c52b9,0,-0.7506,0,12 1 5
0x4ed29c8fdd661aff62813c94c4e12ed6cf7f3919,0,-0.7558,0,12 3 8
0x68fb38560b39b4622ef729a95ebe63f4adabffd1,0,0.3076,0,11 15 25
0x9be98a23ecf71bc4cb0025deb660958bc02c27d2,0,0.0351,0,1 4 12
0xa032b6fa85464fa81cf0c100d3229a1031dc14b2,0,-0.6123,0,149 195 189
0x52bcd9935d88b5459a8c232faeb93354ba451442,0,-0.8489,0,12 1 10
0xc2c9ac3af97f0a9e9b461a62681ffbcaf9d82a63,0,-0.2946,0,10 22 5
0x7f96243fb705d5d5e018a680ade1013995992e2c,0,-0.1110,0,12 0 15
0x0be8ad0126db2b6f8f9f2033a415614946846446,0,0.4364,0,6 11 2
0x5305e5ba7a960384da8b37e77e04deb1a625c5ef,0,-0.6838,0,6 9 5
0xd92f497717eb2fd0fa16107e6ab34d647dceae08,0,-0.7393,0,1 2 7
0x58500d7ea6cfc8d8e132b8992317eb9e1926e57c,0,-0.7568,0,8 9 5
0xad09bf7a4298318c570dcba084211e06f6d1ea0e,0,0.7660,0,0 10 2
0x285532091713680153784bb94766eefec80a2a73,0,0.2922,0,8 16 5
0x4468dca9fce9f4c5b39851de46af225b7e24e11c,0,-0.3174,0,13 17 19
0x7584c993fafd102b40837a01fc018ee3fbccf6c4,0,-0.7465,0,17 10 8
0x211cb161b2dd0ef74d8a0aebf79571f58ee34a0a,0,-0.6005,0,1 4 9
0xde3ef395fadf0b15b570de0c06e813c2b4e87d78,0,-0.4284,0,20 0 1
0x1d9541b98d972d0cb795628314ba96a4a4e7f44c,0,-0.5242,0,0 9 5
0xb5afb9dbc0ace3b351d174dea59cbf5ef4b91771,0,-0.6258,0,1 0 20
0x0cd508759c0e4934cdff81b9cfea03713e0bbcbd,0,-0.1727,0,2 11 3
0x02afe127ef143dbe616ef87d6305f92f74968396,0,0.3044,0,6 15 20
0x81d54525032ad45eb0ae914f34e38a773799a180,0,-0.4178,0,5 4 0
0xc5fa4121d147f2263cdd184ee789fc2d76eb3595,0,-0.0733,0,9 3 6
0x15ce1c5219bfe5d103cff5013c2977035308d4aa,0,-0.6161,0,47 4 34
0x3e5a43812eb07520195162bf9f6eb7d3a65425d5,0,0.9389,0,10 3 1
0xc018f6a44e229d0189fbb795f1bc953fd5569b18,0,0.5396,0,7 1 8
0x935faa1389389ab7a8d7d1501388fcdd274df6f3,0,1.0624,0,69 70 91
0x64e2737a2f41efa5dadea9591c7ed8c68d415303,0,-0.7580,0,4 1 3
0x1fa692e56113b774d456ee75623420f6e251c0a1,0,-0.3021,0,3 4 1
0xfd6f1dfa614915d6187ff196eded7dc671bf5780,0,-0.6139,0,109 162 91
0x9cd863efaa8be584b74978867baeba49ff286f74,0,1.0781,0,28 94 93
0x40f44443858b1f0896b18c602fd233459e6a5393,0,0.5404,0,1 9 8
0x3be8042d9ab146e7b186f0e21acdfa2dc4f80883,0,-0.6097,0,51 37 52
0x79d94aae97baf2017c1cd39f3b406d60712d086f,0,-0.5213,0,10 16 17
0x0b59c683540c2e25d68f1fcd9d4e070acf20f4cb,0,-0.6310,0,109 125 107
0x924e4bbd8e8ca9939b803250952f52a00953e52d,0,0.7137,0,13 3 1
0x50b2c08d48668245d0623046540371216501b77e,0,-0.7952,0,6 2 8
0xe61d6211ae08a12492c93846f9f60f606f7f3612,0,0.6803,0,27 20 13
0xfe0b9529c17b4b177d0eeff7c1078b63f8957b3c,0,-0.7722,0,12 9 1
0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,0,-0.0953,0,2 12 0
0x426e6dd8a887305230889975e03308ecbaddab66,0,-0.3660,0,24 16 0
0x67d165720f9fb3d65363b4bcc30d3e7873669760,0,-0.0523,0,2 1 0
0x1e2915a726bccd400d6724d8ee97279e2d66f97f,0,0.9457,0,11 9 3
0x575dfbaa37554c15b31ffdecc7ff517ee17e9a33,0,0.3774,0,19 23 10
0xc2d1f55ae3a930d4fc6222691ef3a2ef9dbef1f8,0,0.9769,0,47 120 27
0x1a7fe01f4195b183b37bdf3e4d3c9b1f31de34f9,0,0.0131,0,0 1 7
0x4dc778f4012837a0a2405f5a30a40b81a4a0f635,0,0.6962,0,9 2 8
0xa2a56e38b2799bc8e99f73ff7688abd65436d1db,0,-0.7570,0,4 6 13
0x6d885aba1385ec829dac0eb0c3f372cd802ce138,0,-0.4246,0,5 3 2
0xe874ce6e4da0ce312982c82f9c7a4ac86d86a6cc,0,-0.4387,0,2 10 6
0x4edd34eaf46497310f5299cc33f8cafb2c9b385d,0,1.3812,1,2 9 5
0xb232441d00d3eceebb6c662869eb1be3aa71b07f,0,0.3368,0,2 15 9
0xb11e5814c75bb07d25775985d0e7216615788c8f,0,0.4015,0,6 2 0
0x420d93623bfa542244196c569740c64e112e12c0,0,0.0768,0,20 8 14
0xfc6a1bfa590d2980a83e4028d75f96ba3c09cb43,0,0.9050,0,11 10 2
0x1668d11cd40a70ae2bad0b1164f3ae8473bb81cb,0,-0.7909,0,2 9 1
0xfef03b3a16f77529ac2a48d16073680d9792e4fd,0,0.8690,0,7 8 10
0xf50ec36729cceef4b22f5962b4045a50b8e3f0a7,0,-0.8053,0,5 19 23
0xc535006f8b192ad6af774331da3fbadc18061ddf,0,-0.5345,0,81 49 80
0xbc298d503658d6b7ac9fd370e7d04b50baa2cb74,0,-0.7961,0,2 1 8
0x701d131851d8358437c4e19dc768f607244307ff,0,-0.1550,0,6 5 0
0x1d8077c2620927f38053058978cbe5470eac8f78,0,-0.2266,0,24 23 20
0xbb00ae2a51399c9982e68cce6573a9f9936536b1,0,0.9111,0,0 12 5
0xe91e35bbbe0858d83e806192a100f042025bd68b,0,0.5796,0,2 5 15
0x9b466b5dbe7030f259b6c77c8209329a74807574,0,0.9196,0,36 19 20
0xd80d6b1c320ef4bc7bb93adc20567803a8579e9d,0,0.1622,0,3 7 6
0x8d3b02a7bcc0dff60709a38d15d32813e95138a8,0,0.6765,0,44 13 38
0x9d1a419283dad6a6bfaacf2352a60131115ff854,0,-0.5323,0,3 4 8
0xd626035d6825e6528ffb0bd50a9f6218b2f21f7f,0,-0.3366,0,29 30 28
0x1d5a98162a497cd204948bc5e00e98b44abc7cd4,0,-0.7917,0,3 27 26
0xf06ae8a5e3aa14a341dcfdc374a2d6752fdda74e,0,0.9014,0,0 8 11
0xc11a18f3f2f5d642eb85f15e284e0691125aec51,0,-0.4573,0,62 61 23
0x6cf531479deae1ea261ddab2e739c253f7d4916b,0,-0.2620,0,10 0 1
0xbacaa13fd0ede8f49a5488fbe6df3770183f0362,0,-0.4476,0,1 0 2
0x28fee52c0b28ab6bda24e201a197a94cd464eaa8,0,0.4105,0,13 5 8
0x197f2e1609be68f4b4f3abe132e44d311fcc1629,0,-0.5925,0,9 16 13
0x1417d00a180ed3227b233b07b83f3cb85011bf50,0,0.8497,0,103 104 64
0xb4555e48bde6b7ca3d68ecefd4d0b3cd914cf3eb,0,0.7114,0,14 1 13
0xb0153aca2e1a162f5be062c5854942daa062c7c7,0,-0.8099,0,36 25 69
